电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
花束般的恋爱/花束みたいな恋をした/她和他的恋爱花期(港)/爱如花束恋恋不忘,https://movie.douban.com/subject/34874432/,8.6,579169,土井裕泰 Nobuhiro Doi,主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情爱情,
白日梦想家/TheSecretLifeofWalterMitty/发梦王大历险(港)/白日梦冒险王(台),https://movie.douban.com/subject/2133323/,8.6,158440,本·斯蒂勒 Ben Stiller,主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国英国,剧情喜剧冒险,
爱乐之城/LaLaLand/星声梦里人(港)/乐来越爱你(台),https://movie.douban.com/subject/25934014/,8.4,594914,达米恩·查泽雷 Damien Chazelle,主演: 瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情爱情歌舞,
疯狂的麦克斯4：狂暴之路/MadMax:FuryRoad/末日先锋：战甲飞车(港)/疯狂麦斯：愤怒道(台),https://movie.douban.com/subject/3592854/,8.7,811207,乔治·米勒 George Miller,主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚美国,动作科幻冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
可可西里/Kekexili:MountainPatrol,https://movie.douban.com/subject/1308857/,8.9,647282,陆川 Chuan Lu,主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆中国香港,剧情犯罪,坚硬的信仰。
你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)/你看上去好像很好吃,https://movie.douban.com/subject/4848115/,8.9,768235,藤森雅也 Masaya Fujimori,主演: 山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情动画儿童,感情不分食草或者食肉。
贫民窟的百万富翁/SlumdogMillionaire/一百万零一夜(港)/贫民百万富翁(台),https://movie.douban.com/subject/2209573/,8.6,118429,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,主演: 戴夫...,2008,英国,剧情爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
波西米亚狂想曲/BohemianRhapsody/波希米亚狂想曲：摇滚传说(港)/波希米亚狂想曲(台),https://movie.douban.com/subject/5300054/,8.6,161196,布莱恩·辛格 Bryan Singer,主演: 拉米·马雷克 Rami Malek / 本·哈...,2018,英国美国,剧情传记同性音乐,
城市之光/CityLights/CityLights:AComedyRomanceinPantomime/LichterderGroßstadt,https://movie.douban.com/subject/1293908/,9.3,1010451,查理·卓别林 Charles Chaplin,主演: 查理·卓别林 Charles Chaplin ...,1931,美国,喜剧剧情爱情,
爆裂鼓手/Whiplash/鼓动真我(港)/进击的鼓手(台),https://movie.douban.com/subject/25773932/,8.6,556253,达米恩·查泽雷 Damien Chazelle,主演: 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
青蛇/GreenSnake,https://movie.douban.com/subject/1303394/,8.6,422909,徐克 Hark Tsui,主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港中国大陆,剧情爱情奇幻古装,
哈利·波特与死亡圣器(上)/HarryPotterandtheDeathlyHallows:Part1/哈利波特7：死神的圣物1(港/台),https://movie.douban.com/subject/2051007/,8.6,1012990,大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国美国,奇幻冒险,最忠于原著的一部。
无耻混蛋/InglouriousBasterds/希魔撞正杀人狂(港)/恶棍特工(台),https://movie.douban.com/subject/1438652/,8.7,360456,昆汀·塔伦蒂诺 Quentin Tarantino,主演: 布拉德·皮特 Brad Pitt / ...,2009,德国美国,剧情犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。
东邪西毒/東邪西毒/AshesofTime,https://movie.douban.com/subject/1292328/,8.6,472529,王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港中国台湾,剧情动作爱情武侠古装,
终结者2：审判日/Terminator2:JudgmentDay/未来战士2(港)/魔鬼终结者2(台),https://movie.douban.com/subject/1291844/,8.8,275051,詹姆斯·卡梅隆 James Cameron,主演: 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国法国,动作科幻,
大红灯笼高高挂/RaiseTheRedLantern/Épousesetconcubines,https://movie.douban.com/subject/1293323/,8.8,709992,张艺谋 Yimou Zhang,主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,中国大陆中国香港中国台湾,剧情,
黑天鹅/BlackSwan/夺命黑天鹅/霸王别鹅(豆友译名),https://movie.douban.com/subject/1978709/,8.6,713352,达伦·阿罗诺夫斯基 Darren Aronofsky,主演: 娜塔莉·波特曼 Natalie...,2010,美国,剧情惊悚,黑暗之美。
新龙门客栈/新龍門客棧/NewDragonGateInn,https://movie.douban.com/subject/1292287/,8.7,512516,李惠民 Raymond Lee,主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港中国大陆,动作爱情武侠古装,
初恋这件小事/สิ่งเล็กเล็กที่เรียกว่า...รัก/初恋那件小事(港)/暗恋那点小事,https://movie.douban.com/subject/4739952/,8.5,471948,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情喜剧爱情,黑小鸭速效美白记。
千钧一发/Gattaca/变种异煞(港)/自然人,https://movie.douban.com/subject/1300117/,8.8,334877,安德鲁·尼科尔 Andrew Niccol,主演: 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情科幻惊悚,
人工智能/A.I.ArtificialIntelligence/AI人工智慧,https://movie.douban.com/subject/1302827/,8.7,534663,史蒂文·斯皮尔伯格 Steven Spielberg,主演: 海利·乔·奥斯蒙 Haley...,2001,美国,剧情科幻,
崖上的波妞/崖の上のポニョ/悬崖上的金鱼姬/悬崖上的金鱼公主,https://movie.douban.com/subject/1959877/,8.6,322657,宫崎骏 Hayao Miyazaki,主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画奇幻冒险,
雨人/RainMan/手足情未了(港)/手足情深,https://movie.douban.com/subject/1291870/,8.7,624736,巴瑞·莱文森 Barry Levinson,主演: 达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情,
虎口脱险/Lagrandevadrouille/横冲直撞出重围(港)/大進擊(台),https://movie.douban.com/subject/1296909/,8.9,629758,杰拉尔·乌里 Gérard Oury,主演: 路易·德·菲耐斯 Louis de Funès...,1966,法国英国,喜剧战争,
哈利·波特与凤凰社/HarryPotterandtheOrderofthePhoenix/哈利波特5：凤凰会的密令(港/台),https://movie.douban.com/subject/1457217/,8.6,560128,大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国美国,奇幻冒险,
彗星来的那一夜/Coherence/相干性/相干效应,https://movie.douban.com/subject/25807345/,8.6,420872,詹姆斯·沃德·布柯特 James Ward Byrkit,主演: 艾米丽·芭尔多尼 Em...,2013,美国英国,科幻悬疑惊悚,小成本大魅力。
罗生门/羅生門/Rashomon,https://movie.douban.com/subject/1291879/,8.8,428494,黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情犯罪悬疑,
海边的曼彻斯特/ManchesterbytheSea/情系海边之城(港),https://movie.douban.com/subject/25980443/,8.6,574643,肯尼斯·罗纳根 Kenneth Lonergan,主演: 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情家庭,我们都有权利不与自己的过去和解。
恋恋笔记本/TheNotebook/忘了·忘不了(港)/手札情缘(台),https://movie.douban.com/subject/1309163/,8.5,779138,尼克·卡索维茨 Nick Cassavetes,主演: 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
火星救援/TheMartian/火星任务(港)/绝地救援(台),https://movie.douban.com/subject/25864085/,8.5,302615,雷德利·斯科特 Ridley Scott,主演: 马特·达蒙 Matt Damon / 杰西卡...,2015,英国美国匈牙利约旦,剧情科幻冒险,
真爱至上/LoveActually/真的恋爱了(港)/爱是您，爱是我(台),https://movie.douban.com/subject/1292401/,8.5,319819,理查德·柯蒂斯 Richard Curtis,主演: 休·格兰特 Hugh Grant / 连姆...,2003,英国美国法国,喜剧剧情爱情,
黑客帝国2：重装上阵/TheMatrixReloaded/22世纪杀人网络2：决战未来(港)/骇客任务：重装上阵(台),https://movie.douban.com/subject/1304141/,8.7,390759,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作科幻,
冰雪奇缘/Frozen/魔雪奇缘(港)/冰雪大冒险,https://movie.douban.com/subject/4202982/,8.5,620476,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,主演: 克里斯汀...,2013,美国,喜剧动画奇幻歌舞,
步履不停/歩いても歩いても/横山家之味(港/台),https://movie.douban.com/subject/2222996/,8.8,400428,是枝裕和 Hirokazu Koreeda,主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
奇迹男孩/Wonder/奇迹,https://movie.douban.com/subject/26787574/,8.6,292588,斯蒂芬·卓博斯基 Stephen Chbosky,主演: 雅各布·特伦布莱 Jacob Tr...,2017,美国中国香港,剧情儿童家庭,世界不完美，爱会有奇迹。
千年女优/千年女優/MillenniumActress,https://movie.douban.com/subject/1307394/,8.8,298647,今敏 Satoshi Kon,主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画剧情爱情,
谍影重重2/TheBourneSupremacy/叛谍追击2：机密圈套(港)/神鬼认证：神鬼疑云(台),https://movie.douban.com/subject/1308767/,8.7,373544,保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2004,美国德国,动作悬疑惊悚,谁说王家卫镜头很晃？
战争之王/LordofWar/军火之王(台/港),https://movie.douban.com/subject/1419936/,8.7,383586,安德鲁·尼科尔 Andrew Niccol,主演: 尼古拉斯·凯奇 Nicolas Cage /...,2005,美国德国,剧情犯罪,做一颗让别人需要你的棋子。
蜘蛛侠：平行宇宙/Spider-Man:IntotheSpider-Verse/蜘蛛侠：新纪元/蜘蛛人：新宇宙(台),https://movie.douban.com/subject/26374197/,8.6,293898,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,主...,2018,美国,动作科幻动画冒险,
攻壳机动队/攻殻機動隊/GhostintheShell,https://movie.douban.com/subject/1291936/,9,710869,押井守 Mamoru Oshii,主演: 田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,1995,日本,动作科幻动画,
血钻/BloodDiamond/血钻石(台)/血腥钻石,https://movie.douban.com/subject/1428175/,8.7,333181,爱德华·兹威克 Edward Zwick,主演: 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国德国英国,剧情惊悚冒险,每个美丽事物背后都是滴血的现实。
小姐/아가씨/下女诱罪(港)/下女的诱惑(台),https://movie.douban.com/subject/25977027/,8.5,454343,朴赞郁 Chan-wook Park,主演: 金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,2016,韩国,剧情悬疑情色同性,
隐藏人物/HiddenFigures/NASA无名英雌(港)/关键少数(台),https://movie.douban.com/subject/26615208/,8.9,470688,特奥多尔·梅尔菲 Theodore Melfi,主演: 塔拉吉·P·汉森 Taraji P. ...,2016,美国,剧情传记历史,
"血观音/血觀音/修罗花/TheBold,theCorrupt,andtheBeautiful",https://movie.douban.com/subject/27113517/,8.6,539729,杨雅喆 Ya-che Yang,主演: 惠英红 Kara Wai Ying Hung / 吴可熙 Wu K...,2017,中国台湾,剧情悬疑,
魂断蓝桥/WaterlooBridge/滑铁卢桥/断桥残梦,https://movie.douban.com/subject/1293964/,8.8,239923,茂文·勒鲁瓦 Mervyn LeRoy,主演: 费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情爱情战争,
房间/Room/不存在的房间(台)/抖室(港),https://movie.douban.com/subject/25724855/,8.7,744008,伦尼·阿伯拉罕森 Lenny Abrahamson,主演: 布丽·拉尔森 Brie Larson...,2015,爱尔兰加拿大英国美国,剧情家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
